 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1;  1;  5.0000;  5.0000;  1077;    22;   224; 42426; 43749;0.004796;0.000027;0.004824;0.025121;0.994377;0.024618;1.000000;1.000000;1.000000;0.012117;0.011874;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012196;0.012196;0.000000;0.000302;0.000302
 All;  1;  2;  5.0000; 15.0000;  5221;     8;   184; 38332; 43745;0.004802;0.000021;0.004824;0.119534;0.995611;0.119351;1.000000;1.000000;1.000000;0.057658;0.057570;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012211;0.012211;0.000000;0.001464;0.001464
 All;  1;  3;  5.0000; 25.0000; 14934;    51;   177; 28585; 43747;0.004798;0.000025;0.004824;0.342538;0.994788;0.341372;1.000000;1.000000;1.000000;0.165225;0.164663;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012201;0.012201;0.000000;0.004187;0.004187
 All;  1;  4;  5.0000; 35.0000; 28571;   239;    40; 14897; 43747;0.004793;0.000031;0.004824;0.658559;0.993622;0.653096;1.000000;1.000000;1.000000;0.317660;0.315025;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012186;0.012186;0.000000;0.008010;0.008010
 All;  1;  5;  5.0000; 45.0000;  6281;    62;   167; 37238; 43748;0.004798;0.000025;0.004824;0.144989;0.994765;0.143572;1.000000;1.000000;1.000000;0.069937;0.069253;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012200;0.012200;0.000000;0.001761;0.001761
 All;  1;  6;  5.0000; 55.0000;  2493;    47;   133; 41090; 43763;0.004804;0.000020;0.004824;0.058040;0.995887;0.056966;0.000553;1.000000;0.000553;0.027996;0.027478;0.000838;0.000422;0.000033;0.012265;0.012297;0.000033;0.012214;0.012247;0.000000;0.000699;0.000699
 All;  1;  7;  5.0000; 65.0000;  3151;    19;   187; 40392; 43749;0.004801;0.000023;0.004824;0.072459;0.995291;0.072025;0.123536;1.000000;0.123536;0.034951;0.034741;0.000838;0.000422;0.003633;0.012265;0.015897;0.003633;0.012207;0.015840;0.000449;0.000883;0.001332
 All;  1;  8;  5.0000; 75.0000;  8657;    75;   217; 34796; 43745;0.004791;0.000032;0.004824;0.199611;0.993325;0.197897;0.142725;1.000000;0.142725;0.096284;0.095457;0.000838;0.000422;0.002616;0.012265;0.014880;0.002616;0.012183;0.014799;0.000373;0.002427;0.002800
 All;  1;  9;  5.0000; 85.0000;  9104;    54;   215; 34375; 43748;0.004794;0.000030;0.004824;0.209335;0.993851;0.208101;0.149862;1.000000;0.149862;0.100974;0.100379;0.000838;0.000422;0.002079;0.012265;0.014343;0.002079;0.012189;0.014268;0.000311;0.002552;0.002864
