 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1;  1;  5.0000;  5.0000;    97;     0;   275; 54072; 54444;0.004799;0.000024;0.004824;0.001782;0.994949;0.001782;1.000000;1.000000;1.000000;0.000859;0.000859;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012203;0.012203;0.000000;0.000022;0.000022
 All;  1;  2;  5.0000; 15.0000;  2466;    50;   276; 51650; 54442;0.004795;0.000029;0.004824;0.046214;0.994012;0.045296;1.000000;1.000000;1.000000;0.022292;0.021849;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012191;0.012191;0.000000;0.000556;0.000556
 All;  1;  3;  5.0000; 25.0000;  3466;    49;   317; 50607; 54439;0.004791;0.000032;0.004824;0.064568;0.993277;0.063668;1.000000;1.000000;1.000000;0.031145;0.030710;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012182;0.012182;0.000000;0.000781;0.000781
 All;  1;  4;  5.0000; 35.0000;  3285;     6;   442; 50708; 54441;0.004784;0.000040;0.004824;0.060451;0.991771;0.060341;1.000000;1.000000;1.000000;0.029159;0.029106;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012164;0.012164;0.000000;0.000740;0.000740
 All;  1;  5;  5.0000; 45.0000;  3043;    36;   311; 51046; 54436;0.004793;0.000031;0.004824;0.056562;0.993626;0.055901;1.000000;1.000000;1.000000;0.027283;0.026964;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012186;0.012186;0.000000;0.000686;0.000686
 All;  1;  6;  5.0000; 55.0000; 23929;   141;   188; 30178; 54436;0.004794;0.000029;0.004824;0.442171;0.993956;0.439580;0.991293;1.000000;0.991293;0.213284;0.212034;0.000838;0.000422;0.000033;0.012265;0.012297;0.000033;0.012190;0.012223;0.000032;0.005391;0.005424
 All;  1;  7;  5.0000; 65.0000; 13503;    47;   242; 40652; 54444;0.004798;0.000026;0.004824;0.248880;0.994692;0.248016;0.089499;1.000000;0.089499;0.120049;0.119632;0.000838;0.000422;0.003633;0.012265;0.015897;0.003633;0.012199;0.015832;0.000325;0.003042;0.003367
 All;  1;  8;  5.0000; 75.0000;   226;     5;   251; 53962; 54444;0.004801;0.000023;0.004824;0.004243;0.995298;0.004151;0.000213;1.000000;0.000213;0.002047;0.002002;0.000838;0.000422;0.002616;0.012265;0.014880;0.002616;0.012207;0.014823;0.000001;0.000051;0.000051
 All;  1;  9;  5.0000; 85.0000;  3373;     9;   344; 50735; 54461;0.004792;0.000031;0.004824;0.062099;0.993518;0.061934;0.092949;1.000000;0.092949;0.029954;0.029874;0.000838;0.000422;0.002079;0.012265;0.014343;0.002079;0.012185;0.014264;0.000193;0.000760;0.000953
 All;  1; 10;  5.0000; 95.0000;  7931;   139;   136; 46238; 54444;0.004799;0.000024;0.004824;0.148226;0.994949;0.145673;0.061799;1.000000;0.061799;0.071498;0.070266;0.000838;0.000422;0.001990;0.012265;0.014254;0.001990;0.012203;0.014192;0.000123;0.001787;0.001910
 All;  1; 11;  5.0000;105.0000;  5918;    34;   292; 48198; 54442;0.004795;0.000029;0.004824;0.109327;0.994012;0.108703;0.115193;1.000000;0.115193;0.052735;0.052433;0.000838;0.000422;0.002297;0.012265;0.014562;0.002297;0.012191;0.014488;0.000265;0.001333;0.001598
 All;  1; 12;  5.0000;115.0000;  7399;   100;   266; 46674; 54439;0.004791;0.000032;0.004824;0.137751;0.993277;0.135914;0.064398;1.000000;0.064398;0.066445;0.065559;0.000838;0.000422;0.002837;0.012265;0.015102;0.002837;0.012182;0.015019;0.000183;0.001667;0.001850
 All;  1; 13;  5.0000;125.0000; 17152;   431;    17; 36841; 54441;0.004784;0.000040;0.004824;0.322973;0.991771;0.315057;0.074628;1.000000;0.074628;0.155788;0.151969;0.000838;0.000422;0.004416;0.012265;0.016680;0.004416;0.012164;0.016579;0.000330;0.003864;0.004194
 All;  1; 14;  5.0000;135.0000; 45732;   344;     3;  8357; 54436;0.004793;0.000031;0.004824;0.846425;0.993626;0.840106;0.821580;1.000000;0.821580;0.408278;0.405230;0.000838;0.000422;0.010010;0.012265;0.022274;0.010010;0.012186;0.022196;0.008224;0.010304;0.018527
 All;  1; 15;  5.0000;145.0000; 54092;   329;     0;    15; 54436;0.004794;0.000029;0.004824;0.999724;0.993956;0.993681;1.000000;1.000000;1.000000;0.482223;0.479308;0.000838;0.000422;0.003178;0.012265;0.015443;0.003178;0.012190;0.015369;0.003178;0.012187;0.015365
 All;  1; 16;  5.0000;155.0000; 39808;   185;   104; 14347; 54444;0.004798;0.000026;0.004824;0.734571;0.994692;0.731173;1.000000;1.000000;1.000000;0.354325;0.352686;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012199;0.012199;0.000000;0.008968;0.008968
 All;  1; 17;  5.0000;165.0000;  6938;   105;   151; 47250; 54444;0.004801;0.000023;0.004824;0.129362;0.995298;0.127434;1.000000;1.000000;1.000000;0.062399;0.061468;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012207;0.012207;0.000000;0.001563;0.001563
 All;  1; 18;  5.0000;175.0000; 29809;   355;     0; 24297; 54461;0.004792;0.000031;0.004824;0.553864;0.993482;0.547346;1.000000;1.000000;1.000000;0.267160;0.264016;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012185;0.012185;0.000000;0.006713;0.006713
 All;  1; 19;  5.0000;185.0000; 38513;   235;    41; 15655; 54444;0.004799;0.000024;0.004824;0.711704;0.994931;0.707387;1.000000;1.000000;1.000000;0.343295;0.341213;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012202;0.012202;0.000000;0.008676;0.008676
 All;  1; 20;  5.0000;195.0000; 31391;   225;   106; 22720; 54442;0.004794;0.000029;0.004824;0.580728;0.993920;0.576595;1.000000;1.000000;1.000000;0.280118;0.278124;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012190;0.012190;0.000000;0.007072;0.007072
 All;  1; 21;  5.0000;205.0000;  7177;    25;   344; 46893; 54439;0.004791;0.000033;0.004824;0.132295;0.993222;0.131836;1.000000;1.000000;1.000000;0.063813;0.063592;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012181;0.012181;0.000000;0.001617;0.001617
 All;  1; 22;  5.0000;215.0000; 17927;   114;   339; 36061; 54441;0.004783;0.000040;0.004824;0.331386;0.991679;0.329292;0.728933;1.000000;0.728933;0.159846;0.158836;0.000838;0.000422;0.003195;0.012265;0.015460;0.003195;0.012163;0.015357;0.002329;0.004039;0.006368
 All;  1; 23;  5.0000;225.0000; 44566;   293;    54;  9523; 54436;0.004793;0.000031;0.004824;0.824069;0.993626;0.818686;0.863693;1.000000;0.863693;0.397494;0.394898;0.000838;0.000422;0.009988;0.012265;0.022253;0.009988;0.012186;0.022175;0.008627;0.010041;0.018668
 All;  1; 24;  5.0000;235.0000; 23538;   230;   100; 30568; 54436;0.004794;0.000029;0.004824;0.436623;0.993938;0.432398;0.416962;1.000000;0.416962;0.210608;0.208570;0.000838;0.000422;0.004409;0.012265;0.016674;0.004409;0.012190;0.016599;0.001838;0.005303;0.007142
 All;  1; 25;  5.0000;245.0000; 22542;   234;    61; 31607; 54444;0.004797;0.000026;0.004824;0.418338;0.994582;0.414040;0.270002;1.000000;0.270002;0.201788;0.199715;0.000838;0.000422;0.002844;0.012265;0.015109;0.002844;0.012198;0.015042;0.000768;0.005078;0.005846
 All;  1; 26;  5.0000;255.0000; 21785;   176;    81; 32402; 54444;0.004801;0.000023;0.004824;0.403369;0.995280;0.400136;0.333528;1.000000;0.333528;0.194567;0.193008;0.000838;0.000422;0.002250;0.012265;0.014515;0.002250;0.012207;0.014457;0.000750;0.004908;0.005658
 All;  1; 27;  5.0000;265.0000; 18281;     3;   353; 35824; 54461;0.004792;0.000032;0.004824;0.335726;0.993463;0.335671;0.690283;1.000000;0.690283;0.161940;0.161913;0.000838;0.000422;0.002048;0.012265;0.014313;0.002048;0.012184;0.014233;0.001414;0.004117;0.005531
 All;  1; 28;  5.0000;275.0000;  1492;     0;   276; 52676; 54444;0.004799;0.000024;0.004824;0.027404;0.994931;0.027404;0.005948;1.000000;0.005948;0.013219;0.013219;0.000838;0.000422;0.002070;0.012265;0.014335;0.002070;0.012202;0.014273;0.000012;0.000336;0.000348
 All;  1; 29;  5.0000;285.0000;   981;     0;   331; 53130; 54442;0.004794;0.000029;0.004824;0.018019;0.993920;0.018019;0.013065;1.000000;0.013065;0.008692;0.008692;0.000838;0.000422;0.002563;0.012265;0.014827;0.002563;0.012190;0.014753;0.000033;0.000221;0.000254
 All;  1; 30;  5.0000;295.0000;  1387;    57;   312; 52683; 54439;0.004791;0.000033;0.004824;0.026525;0.993222;0.025478;0.010978;1.000000;0.010978;0.012795;0.012289;0.000838;0.000422;0.003683;0.012265;0.015948;0.003683;0.012181;0.015865;0.000040;0.000312;0.000353
 All;  1; 31;  5.0000;305.0000;   677;     8;   445; 53311; 54441;0.004783;0.000040;0.004824;0.012582;0.991679;0.012435;0.000000;1.000000;0.000000;0.006069;0.005998;0.000838;0.000422;0.000032;0.012265;0.012296;0.000032;0.012163;0.012194;0.000000;0.000153;0.000153
 All;  1; 32;  5.0000;315.0000;  2273;     6;   341; 51816; 54436;0.004793;0.000031;0.004824;0.041866;0.993626;0.041755;1.000000;1.000000;1.000000;0.020194;0.020141;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012186;0.012186;0.000000;0.000512;0.000512
 All;  1; 33;  5.0000;325.0000;   941;    19;   311; 53165; 54436;0.004794;0.000029;0.004824;0.017635;0.993938;0.017286;1.000000;1.000000;1.000000;0.008507;0.008338;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012190;0.012190;0.000000;0.000212;0.000212
 All;  1; 34;  5.0000;335.0000;  3600;    14;   281; 50549; 54444;0.004797;0.000026;0.004824;0.066380;0.994582;0.066123;1.000000;1.000000;1.000000;0.032019;0.031895;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012198;0.012198;0.000000;0.000811;0.000811
 All;  1; 35;  5.0000;345.0000;   904;     0;   257; 53283; 54444;0.004801;0.000023;0.004824;0.016604;0.995280;0.016604;1.000000;1.000000;1.000000;0.008009;0.008009;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012207;0.012207;0.000000;0.000204;0.000204
 All;  1; 36;  5.0000;355.0000;    54;     0;   355; 54052; 54461;0.004792;0.000031;0.004824;0.000992;0.993482;0.000992;1.000000;1.000000;1.000000;0.000478;0.000478;0.000838;0.000422;0.000000;0.012265;0.012265;0.000000;0.012185;0.012185;0.000000;0.000012;0.000012
 All;  2;  1; 15.0000;  5.0000;    11;     0;     0; 48017; 48028;0.004677;0.000000;0.004677;0.000229;1.000000;0.000229;1.000000;1.000000;1.000000;0.000107;0.000107;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.000008;0.000008
 All;  2;  2; 15.0000; 15.0000;  1588;     0;     0; 46433; 48021;0.004677;0.000000;0.004677;0.033069;1.000000;0.033069;1.000000;1.000000;1.000000;0.015466;0.015466;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001168;0.001168
 All;  2;  3; 15.0000; 25.0000;  1429;     0;     0; 46604; 48033;0.004677;0.000000;0.004677;0.029750;1.000000;0.029750;1.000000;1.000000;1.000000;0.013914;0.013914;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.001051;0.001051
 All;  2;  4; 15.0000; 35.0000;  1221;     0;     0; 46810; 48031;0.004677;0.000000;0.004677;0.025421;1.000000;0.025421;1.000000;1.000000;1.000000;0.011889;0.011889;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.000898;0.000898
 All;  2;  5; 15.0000; 45.0000;  1145;     0;     0; 46883; 48028;0.004677;0.000000;0.004677;0.023840;1.000000;0.023840;1.000000;1.000000;1.000000;0.011150;0.011150;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.000842;0.000842
 All;  2;  6; 15.0000; 55.0000;  6977;     0;     0; 41062; 48039;0.004677;0.000000;0.004677;0.145236;1.000000;0.145236;1.000000;1.000000;1.000000;0.067927;0.067927;0.002412;0.001570;0.000000;0.035315;0.035315;0.000000;0.035315;0.035315;0.000000;0.005129;0.005129
 All;  2;  7; 15.0000; 65.0000;  2391;     0;     0; 45631; 48022;0.004677;0.000000;0.004677;0.049790;1.000000;0.049790;0.000000;1.000000;0.000000;0.023287;0.023287;0.002412;0.001570;0.005276;0.035315;0.040591;0.005276;0.035315;0.040591;0.000000;0.001758;0.001758
 All;  2;  8; 15.0000; 75.0000;   502;     0;     0; 47519; 48021;0.004677;0.000000;0.004677;0.010454;1.000000;0.010454;0.023400;1.000000;0.023400;0.004889;0.004889;0.002412;0.001570;0.054368;0.035315;0.089683;0.054368;0.035315;0.089683;0.001272;0.000369;0.001641
 All;  2;  9; 15.0000; 85.0000; 23083;     0;     0; 24926; 48009;0.004677;0.000000;0.004677;0.480806;1.000000;0.480806;0.381535;1.000000;0.381535;0.224873;0.224873;0.002412;0.001570;0.037325;0.035315;0.072640;0.037325;0.035315;0.072640;0.014241;0.016979;0.031220
 All;  2; 10; 15.0000; 95.0000;  6219;     0;     0; 41809; 48028;0.004677;0.000000;0.004677;0.129487;1.000000;0.129487;0.182982;1.000000;0.182982;0.060561;0.060561;0.002412;0.001570;0.031115;0.035315;0.066429;0.031115;0.035315;0.066429;0.005693;0.004573;0.010266
 All;  2; 11; 15.0000;105.0000;  7288;     0;     0; 40733; 48021;0.004677;0.000000;0.004677;0.151767;1.000000;0.151767;0.196630;1.000000;0.196630;0.070981;0.070981;0.002412;0.001570;0.031092;0.035315;0.066406;0.031092;0.035315;0.066406;0.006114;0.005360;0.011473
 All;  2; 12; 15.0000;115.0000;  4219;     0;     0; 43814; 48033;0.004677;0.000000;0.004677;0.087835;1.000000;0.087835;0.051250;1.000000;0.051250;0.041081;0.041081;0.002412;0.001570;0.033973;0.035315;0.069288;0.033973;0.035315;0.069288;0.001741;0.003102;0.004843
 All;  2; 13; 15.0000;125.0000;  4824;     0;     0; 43207; 48031;0.004677;0.000000;0.004677;0.100435;1.000000;0.100435;0.139763;1.000000;0.139763;0.046974;0.046974;0.002412;0.001570;0.041771;0.035315;0.077085;0.041771;0.035315;0.077085;0.005838;0.003547;0.009385
 All;  2; 14; 15.0000;135.0000; 34383;     0;     0; 13645; 48028;0.004677;0.000000;0.004677;0.715895;1.000000;0.715895;0.771807;1.000000;0.771807;0.334824;0.334824;0.002412;0.001570;0.058129;0.035315;0.093444;0.058129;0.035315;0.093444;0.044864;0.025281;0.070146
 All;  2; 15; 15.0000;145.0000; 31571;     0;     0; 16468; 48039;0.004677;0.000000;0.004677;0.657195;1.000000;0.657195;0.605166;1.000000;0.605166;0.307370;0.307370;0.002412;0.001570;0.101794;0.035315;0.137108;0.101794;0.035315;0.137108;0.061602;0.023209;0.084811
 All;  2; 16; 15.0000;155.0000; 21550;     0;     0; 26472; 48022;0.004677;0.000000;0.004677;0.448753;1.000000;0.448753;0.376109;1.000000;0.376109;0.209882;0.209882;0.002412;0.001570;0.122074;0.035315;0.157388;0.122074;0.035315;0.157388;0.045913;0.015847;0.061761
