time,latitude,longitude,altitude (m),distance (km),distance_interval (m)
2020-12-17 05:13:53,5.243834000,95.590287000,288.4,0.000
2020-12-17 05:13:54,5.243891000,95.590335000,287.7,0.008,8.25
2020-12-17 05:14:24,5.244066000,95.590536000,285.1,0.038,29.51
2020-12-17 05:15:17,5.243997000,95.590543000,285.7,0.045,7.67
2020-12-17 05:15:18,5.243999000,95.590548000,285.7,0.046,0.60
2020-12-17 05:15:31,5.243958000,95.590549000,286.0,0.051,4.54
2020-12-17 05:15:51,5.243823000,95.590563000,287.3,0.066,15.01
2020-12-17 05:16:06,5.243787000,95.590556000,287.6,0.070,4.06
2020-12-17 05:16:19,5.243775000,95.590560000,287.7,0.071,1.40
2020-12-17 05:16:36,5.243680000,95.590540000,288.7,0.082,10.74
2020-12-17 05:16:52,5.243644000,95.590558000,289.0,0.086,4.45
2020-12-17 05:17:07,5.243696000,95.590549000,288.5,0.092,5.84
2020-12-17 05:30:08,5.241765000,95.589403000,311.0,0.341,248.47
2020-12-17 05:30:22,5.241660000,95.589438000,312.8,0.353,12.24
2020-12-17 05:30:25,5.241652000,95.589433000,312.9,0.354,1.04
2020-12-17 05:30:29,5.241637000,95.589440000,313.1,0.356,1.83
2020-12-17 05:30:38,5.241607000,95.589440000,313.6,0.359,3.32
2020-12-17 05:30:48,5.241609000,95.589456000,313.6,0.361,1.79
2020-12-17 05:31:05,5.241597000,95.589370000,313.8,0.370,9.63
2020-12-17 05:32:26,5.241532000,95.589408000,314.8,0.379,8.33
2020-12-17 05:33:16,5.241649000,95.589396000,313.0,0.392,13.01
2020-12-17 05:33:36,5.241660000,95.589422000,312.8,0.395,3.13
2020-12-17 05:40:43,5.241602000,95.589422000,313.7,0.401,6.41
2020-12-17 05:41:11,5.241649000,95.589456000,312.9,0.408,6.42
2020-12-17 05:41:22,5.241659000,95.589477000,312.7,0.410,2.58
2020-12-17 05:41:45,5.241585000,95.589471000,313.9,0.418,8.21
2020-12-17 05:41:47,5.241579000,95.589469000,314.0,0.419,0.70
2020-12-17 05:42:04,5.241491000,95.589459000,315.4,0.429,9.79
2020-12-17 05:42:22,5.241435000,95.589512000,316.2,0.437,8.54
2020-12-17 05:42:42,5.241384000,95.589503000,317.0,0.443,5.73
2020-12-17 05:42:46,5.241371000,95.589492000,317.2,0.445,1.89
2020-12-17 05:42:59,5.241297000,95.589452000,318.4,0.454,9.31
2020-12-17 05:43:24,5.241233000,95.589450000,319.4,0.461,7.08
2020-12-17 05:43:54,5.241156000,95.589465000,320.6,0.470,8.68
2020-12-17 05:44:15,5.241072000,95.589422000,322.0,0.481,10.44
2020-12-17 05:44:36,5.241001000,95.589408000,323.1,0.489,8.00
2020-12-17 05:45:10,5.240994000,95.589444000,323.2,0.493,4.07
2020-12-17 05:45:44,5.240969000,95.589395000,323.6,0.499,6.10
2020-12-17 05:45:53,5.240950000,95.589358000,323.9,0.503,4.61
2020-12-17 05:46:10,5.240879000,95.589253000,325.2,0.517,14.04
2020-12-17 05:46:45,5.240764000,95.589188000,326.4,0.532,14.62
2020-12-17 05:47:19,5.240569000,95.589026000,326.8,0.560,28.06
2020-12-17 05:48:03,5.240454000,95.589072000,327.8,0.574,13.70
2020-12-17 05:48:11,5.240409000,95.589062000,328.0,0.579,5.10
2020-12-17 05:48:31,5.240273000,95.588988000,328.7,0.596,17.13
2020-12-17 05:48:33,5.240262000,95.588983000,328.7,0.597,1.34
2020-12-17 05:48:57,5.240084000,95.588922000,329.8,0.618,20.81
2020-12-17 05:49:08,5.240028000,95.588957000,330.3,0.625,7.31
2020-12-17 05:49:27,5.239966000,95.588999000,331.1,0.634,8.29
2020-12-17 05:49:39,5.239843000,95.588897000,332.5,0.651,17.69
2020-12-17 06:19:01,5.237847000,95.590237000,365.4,0.918,266.06
2020-12-17 06:19:02,5.237803000,95.590279000,366.3,0.924,6.73
2020-12-17 06:19:30,5.237745000,95.590325000,367.3,0.932,8.19
2020-12-17 06:19:31,5.237741000,95.590326000,367.3,0.933,0.46
2020-12-17 06:25:42,5.237703000,95.590260000,367.4,0.941,8.44
2020-12-17 06:25:54,5.237700000,95.590302000,367.7,0.946,4.67
2020-12-17 06:26:05,5.237700000,95.590357000,368.1,0.952,6.10
2020-12-17 06:26:23,5.237656000,95.590385000,368.8,0.958,5.77
2020-12-17 06:26:26,5.237641000,95.590380000,369.0,0.960,1.75
2020-12-17 06:26:45,5.237528000,95.590394000,370.5,0.972,12.59
2020-12-17 06:26:54,5.237495000,95.590419000,371.1,0.977,4.58
2020-12-17 06:26:56,5.237493000,95.590438000,371.3,0.979,2.12
2020-12-17 06:27:12,5.237405000,95.590511000,374.1,0.992,12.66
2020-12-17 06:27:23,5.237334000,95.590555000,376.2,1.001,9.24
2020-12-17 06:27:45,5.237284000,95.590565000,377.5,1.006,5.64
2020-12-17 06:27:49,5.237285000,95.590593000,377.7,1.010,3.11
2020-12-17 06:28:00,5.237299000,95.590656000,377.8,1.017,7.15
2020-12-17 06:28:13,5.237297000,95.590788000,378.8,1.031,14.63
2020-12-17 06:28:14,5.237288000,95.590796000,379.1,1.033,1.33
2020-12-17 06:28:28,5.237213000,95.590883000,381.0,1.045,12.72
2020-12-17 06:28:35,5.237177000,95.590886000,381.8,1.049,3.99
2020-12-17 06:28:45,5.237074000,95.590929000,384.1,1.062,12.35
2020-12-17 06:29:05,5.237013000,95.591003000,385.1,1.072,10.62
2020-12-17 06:29:41,5.236990000,95.591053000,385.3,1.078,6.10
2020-12-17 06:30:01,5.236946000,95.591053000,386.3,1.083,4.87
2020-12-17 06:30:42,5.237010000,95.590980000,385.3,1.094,10.75
2020-12-17 06:30:49,5.236993000,95.590975000,385.7,1.096,1.96
2020-12-17 06:31:22,5.236815000,95.590965000,390.1,1.116,19.72
2020-12-17 06:31:59,5.236758000,95.591050000,390.8,1.127,11.34
2020-12-17 06:32:33,5.236555000,95.591033000,395.6,1.150,22.53
2020-12-17 06:32:49,5.236503000,95.590982000,397.3,1.158,8.06
2020-12-17 06:33:04,5.236513000,95.590937000,397.5,1.163,5.11
2020-12-17 06:33:25,5.236373000,95.590876000,401.3,1.180,16.89
2020-12-17 06:34:05,5.236256000,95.590770000,404.4,1.197,17.48
2020-12-17 06:34:30,5.236239000,95.590758000,404.8,1.199,2.30
2020-12-17 06:34:33,5.236231000,95.590753000,405.0,1.201,1.04
