Latitude, Longitude, Altitude
5.2438803, 95.5904010, 270.7
5.2438831, 95.5904010, 270.7
5.2438855, 95.5904010, 269.6
5.2438860, 95.5904080, 269.2
5.2438865, 95.5904080, 270.4
5.2438865, 95.5904160, 271.5
5.2438846, 95.5904240, 273.4
5.2438841, 95.5904310, 274.7
5.2438865, 95.5904390, 275.0
5.2438869, 95.5904460, 275.4
5.2438803, 95.5904620, 275.9
5.2438745, 95.5904620, 278.7
5.2438712, 95.5904620, 278.7
5.2438669, 95.5904620, 279.0
5.2438745, 95.5904620, 279.1
5.2438750, 95.5904620, 279.6
5.2438674, 95.5904620, 281.0
5.2438674, 95.5904620, 283.6
5.2438617, 95.5904620, 285.0
5.2438631, 95.5904620, 285.8
5.2438626, 95.5904620, 285.3
5.2438660, 95.5904620, 285.1
5.2438650, 95.5904620, 285.2
5.2438612, 95.5904690, 285.1
5.2438588, 95.5904690, 284.8
5.2438555, 95.5904770, 284.7
5.2438493, 95.5904690, 284.3
5.2438478, 95.5904770, 284.4
5.2438526, 95.5904850, 284.2
5.2438440, 95.5904920, 284.3
5.2438455, 95.5905000, 283.4
5.2438345, 95.5905080, 284.0
5.2438345, 95.5905150, 286.9
5.2438278, 95.5905230, 288.4
5.2438235, 95.5905300, 289.5
5.2438192, 95.5905380, 290.2
5.2438264, 95.5905380, 290.6
5.2438283, 95.5905460, 290.5
5.2438293, 95.5905460, 290.6
5.2438293, 95.5905460, 290.1
5.2438335, 95.5905460, 289.7
5.2438321, 95.5905460, 288.7
5.2438297, 95.5905460, 291.0
5.2438254, 95.5905460, 291.2
5.2438216, 95.5905530, 292.3
5.2438169, 95.5905530, 293.6
5.2438130, 95.5905530, 294.8
5.2438130, 95.5905610, 295.5
5.2438107, 95.5905610, 295.5
5.2438073, 95.5905690, 294.9
5.2438030, 95.5905690, 294.9
5.2437930, 95.5905690, 296.3
5.2437892, 95.5905690, 297.1
5.2437859, 95.5905690, 297.9
5.2437801, 95.5905690, 298.7
5.2437758, 95.5905690, 298.4
5.2437658, 95.5905760, 298.7
5.2437611, 95.5905760, 299.3
5.2437515, 95.5905760, 299.9
5.2437482, 95.5905760, 299.9
5.2437439, 95.5905760, 300.4
5.2437415, 95.5905760, 300.4
5.2437372, 95.5905760, 300.9
5.2437334, 95.5905840, 301.0
5.2437272, 95.5905840, 301.3
5.2437239, 95.5905760, 301.2
5.2437224, 95.5905760, 301.0
5.2437205, 95.5905760, 300.7
5.2437115, 95.5905840, 300.3
5.2437105, 95.5905840, 299.9
5.2437053, 95.5905840, 300.0
5.2437034, 95.5905840, 300.0
5.2437000, 95.5905840, 299.7
5.2436962, 95.5905840, 299.8
5.2436867, 95.5905840, 299.8
5.2436795, 95.5905840, 299.8
