time,latitude,longitude,altitude (m),distance (km),distance_interval (m)
2020-12-17 12:15:19,5.243880300,95.590401000,287.5,0.000,
2020-12-17 12:15:20,5.243883100,95.590401000,287.5,0.000,0.31
2020-12-17 12:15:21,5.243885500,95.590401000,287.4,0.001,0.27
2020-12-17 12:15:22,5.243886000,95.590408000,287.4,0.001,0.78
2020-12-17 12:15:23,5.243886500,95.590408000,287.4,0.001,0.06
2020-12-17 12:15:24,5.243886500,95.590416000,287.4,0.002,0.89
2020-12-17 12:15:25,5.243884600,95.590424000,287.3,0.003,0.91
2020-12-17 12:15:26,5.243884100,95.590431000,287.3,0.004,0.78
2020-12-17 12:15:27,5.243886500,95.590439000,287.2,0.005,0.93
2020-12-17 12:15:28,5.243886900,95.590446000,287.2,0.006,0.78
2020-12-17 12:15:29,5.243880300,95.590462000,287.2,0.008,1.92
2020-12-17 12:15:30,5.243874500,95.590462000,287.2,0.008,0.64
2020-12-17 12:15:31,5.243871200,95.590462000,287.3,0.009,0.36
2020-12-17 12:15:32,5.243866900,95.590462000,287.3,0.009,0.48
2020-12-17 12:15:33,5.243874500,95.590462000,287.2,0.010,0.84
2020-12-17 12:15:34,5.243875000,95.590462000,287.2,0.010,0.06
2020-12-17 12:15:35,5.243867400,95.590462000,287.3,0.011,0.84
2020-12-17 12:15:36,5.243867400,95.590462000,287.3,0.011,0.00
2020-12-17 12:15:37,5.243861700,95.590462000,287.4,0.011,0.63
2020-12-17 12:15:38,5.243863100,95.590462000,287.3,0.012,0.15
2020-12-17 12:15:39,5.243862600,95.590462000,287.3,0.012,0.06
2020-12-17 12:15:40,5.243866000,95.590462000,287.3,0.012,0.38
2020-12-17 12:15:41,5.243865000,95.590462000,287.3,0.012,0.11
2020-12-17 12:15:42,5.243861200,95.590469000,287.3,0.013,0.88
2020-12-17 12:15:43,5.243858800,95.590469000,287.3,0.013,0.27
2020-12-17 12:15:44,5.243855500,95.590477000,287.3,0.014,0.96
2020-12-17 12:15:46,5.243849300,95.590469000,287.4,0.015,1.12
2020-12-17 12:15:47,5.243847800,95.590477000,287.4,0.016,0.90
2020-12-17 12:15:48,5.243852600,95.590485000,287.3,0.017,1.03
2020-12-17 12:15:49,5.243844000,95.590492000,287.4,0.019,1.23
2020-12-17 12:15:50,5.243845500,95.590500000,287.3,0.019,0.90
2020-12-17 12:15:51,5.243834500,95.590508000,287.4,0.021,1.51
2020-12-17 12:15:52,5.243834500,95.590515000,287.4,0.022,0.78
2020-12-17 12:15:53,5.243827800,95.590523000,287.4,0.023,1.16
2020-12-17 12:15:54,5.243823500,95.590530000,287.4,0.024,0.91
2020-12-17 12:15:55,5.243819200,95.590538000,287.4,0.025,1.01
2020-12-17 12:15:56,5.243826400,95.590538000,287.3,0.026,0.80
2020-12-17 12:15:57,5.243828300,95.590546000,287.3,0.027,0.91
2020-12-17 12:15:58,5.243829300,95.590546000,287.3,0.027,0.11
2020-12-17 12:15:59,5.243829300,95.590546000,287.3,0.027,0.00
2020-12-17 12:16:00,5.243833500,95.590546000,287.2,0.027,0.46
2020-12-17 12:16:01,5.243832100,95.590546000,287.3,0.027,0.15
2020-12-17 12:16:02,5.243829700,95.590546000,287.3,0.028,0.27
2020-12-17 12:16:03,5.243825400,95.590546000,287.3,0.028,0.48
2020-12-17 12:16:04,5.243821600,95.590553000,287.3,0.029,0.88
2020-12-17 12:16:05,5.243816900,95.590553000,287.4,0.029,0.52
2020-12-17 12:16:06,5.243813000,95.590553000,287.4,0.030,0.43
2020-12-17 12:16:07,5.243813000,95.590561000,287.4,0.031,0.89
2020-12-17 12:16:08,5.243810700,95.590561000,287.4,0.031,0.25
2020-12-17 12:16:09,5.243807300,95.590569000,287.4,0.032,0.96
2020-12-17 12:16:10,5.243803000,95.590569000,287.4,0.032,0.48
2020-12-17 12:16:11,5.243793000,95.590569000,287.5,0.033,1.11
