time,latitude,longitude,altitude (m),distance (km),distance_interval (m)
2020-12-22 02:28:15,5.557727000,95.311596000,5.5,0.000,
2020-12-22 02:28:18,5.557720000,95.311610000,5.5,0.002,1.73
2020-12-22 02:28:41,5.557582000,95.311706000,5.2,0.020,18.60
2020-12-22 02:28:58,5.557627000,95.311714000,5.3,0.025,5.05
2020-12-22 02:34:48,5.557823000,95.311832000,5.8,0.051,25.31
2020-12-22 02:34:49,5.557820000,95.311832000,5.8,0.051,0.33
2020-12-22 02:34:54,5.557815000,95.311870000,5.8,0.055,4.25
2020-12-22 02:35:13,5.557735000,95.312035000,5.8,0.076,20.31
2020-12-22 02:35:15,5.557725000,95.312046000,5.7,0.077,1.65
2020-12-22 02:36:53,5.557159000,95.313077000,5.1,0.207,130.26
2020-12-22 02:37:13,5.557095000,95.313253000,5.0,0.228,20.75
2020-12-22 02:37:30,5.557002000,95.313454000,5.1,0.253,24.53
2020-12-22 02:37:45,5.556918000,95.313597000,5.3,0.271,18.37
2020-12-22 02:38:04,5.556848000,95.313793000,5.6,0.294,23.06
2020-12-22 02:38:11,5.556848000,95.313889000,5.7,0.305,10.64
2020-12-22 02:38:29,5.556729000,95.314130000,6.0,0.335,29.77
2020-12-22 02:38:44,5.556656000,95.314288000,6.3,0.354,19.28
2020-12-22 02:38:48,5.556620000,95.314338000,6.4,0.361,6.82
2020-12-22 02:39:02,5.556539000,95.314458000,6.7,0.377,16.03
2020-12-22 02:39:16,5.556443000,95.314591000,7.0,0.395,18.16
2020-12-22 02:39:36,5.556324000,95.314778000,7.5,0.419,24.55
2020-12-22 02:39:50,5.556234000,95.314882000,7.7,0.435,15.23
2020-12-22 02:40:12,5.556197000,95.315067000,8.1,0.456,20.90
2020-12-22 02:40:35,5.556214000,95.315094000,8.2,0.459,3.53
2020-12-22 02:41:12,5.556207000,95.315117000,8.2,0.462,2.66
2020-12-22 02:43:35,5.556247000,95.315130000,8.2,0.466,4.65
2020-12-22 02:43:49,5.556395000,95.315190000,8.3,0.484,17.67
2020-12-22 02:44:10,5.556617000,95.315260000,8.3,0.510,25.75
2020-12-22 02:44:16,5.556698000,95.315248000,8.2,0.519,9.06
2020-12-22 02:44:25,5.556811000,95.315295000,8.0,0.532,13.54
2020-12-22 02:44:39,5.556971000,95.315303000,7.6,0.550,17.72
2020-12-22 02:44:54,5.557156000,95.315306000,7.2,0.571,20.46
2020-12-22 02:45:13,5.557394000,95.315484000,6.8,0.603,32.89
2020-12-22 02:45:27,5.557573000,95.315470000,6.7,0.623,19.86
2020-12-22 02:45:47,5.557820000,95.315529000,7.2,0.651,28.09
2020-12-22 02:46:03,5.558003000,95.315551000,7.5,0.672,20.38
2020-12-22 02:46:18,5.558182000,95.315626000,7.8,0.693,21.47
2020-12-22 02:46:35,5.558403000,95.315710000,8.0,0.719,26.15
2020-12-22 02:46:49,5.558560000,95.315741000,8.0,0.737,17.70
2020-12-22 02:47:06,5.558756000,95.315786000,8.0,0.759,22.24
2020-12-22 02:47:15,5.558828000,95.315812000,8.0,0.768,8.47
2020-12-22 02:47:22,5.558921000,95.315841000,8.0,0.779,10.77
2020-12-22 02:47:35,5.559085000,95.315928000,8.0,0.799,20.54
2020-12-22 02:47:39,5.559115000,95.315944000,8.0,0.803,3.76
2020-12-22 02:47:47,5.559193000,95.315992000,8.0,0.813,10.13
2020-12-22 02:48:03,5.559202000,95.316118000,8.0,0.827,14.00
2020-12-22 02:48:16,5.559232000,95.316153000,8.0,0.832,5.10
2020-12-22 02:48:41,5.559237000,95.316136000,7.9,0.834,1.96
2020-12-22 02:51:27,5.559268000,95.316174000,7.9,0.840,5.43
2020-12-22 02:51:35,5.559236000,95.316222000,8.0,0.846,6.39
2020-12-22 02:51:37,5.559230000,95.316246000,8.0,0.849,2.74
2020-12-22 02:51:50,5.559187000,95.316386000,8.0,0.865,16.22
2020-12-22 02:51:58,5.559209000,95.316479000,8.0,0.875,10.59
2020-12-22 02:52:12,5.559176000,95.316611000,8.0,0.891,15.07
2020-12-22 02:52:26,5.559149000,95.316780000,7.8,0.910,18.96
2020-12-22 02:52:43,5.559090000,95.317015000,7.6,0.936,26.84
2020-12-22 02:52:59,5.559064000,95.317216000,7.4,0.959,22.46
2020-12-22 02:53:13,5.559054000,95.317373000,7.2,0.976,17.43
2020-12-22 02:53:31,5.559041000,95.317588000,7.1,1.000,23.87
