name, desc, latitude, longitude, color, symbol
Oregon 650, 0m, 5.557727, 95.311596    , green, pin
Oregon 650, 200, 5.557183, 95.313034   , green, pin
Oregon 650, 400m, 5.556418, 95.314630  , green, pin
Oregon 650, 600m, 5.557383, 95.315476  , green, pin
Oregon 650, 800m, 5.559091, 95.315931  , green, pin
Oregon 650, 1000m, 5.559067, 95.317674 , green, pin
Oregon 650, 1200m, 5.560482, 95.318096 , green, pin
Oregon 650, 1400m, 5.559385, 95.318572 , green, pin
Oregon 650, 1600m, 5.557955, 95.318925 , green, pin
Oregon 650, 1800m, 5.557050, 95.320197 , green, pin
Oregon 650, 2000m, 5.556195, 95.321997 , green, pin
