Latitude, Longitude, Altitude
5.5578513, 95.3118130, 7.9
5.5578518, 95.3118130, 7.9
5.5578513, 95.3118130, 7.9
5.5578489, 95.3118130, 8.0
5.5578446, 95.3118210, 8.1
5.5578389, 95.3118290, 7.9
5.5578341, 95.3118440, 7.6
5.5578279, 95.3118520, 7.6
5.5578222, 95.3118590, 7.7
5.5578160, 95.3118670, 7.4
5.5578098, 95.3118740, 6.8
5.5578051, 95.3118900, 6.4
5.5578003, 95.3118900, 6.3
5.5577955, 95.3118970, 6.1
5.5577912, 95.3119130, 5.9
5.5577855, 95.3119200, 5.7
5.5577803, 95.3119280, 5.1
5.5577750, 95.3119350, 4.7
5.5577631, 95.3119510, 4.1
5.5577598, 95.3119580, 3.8
5.5577555, 95.3119660, 4.0
5.5577502, 95.3119810, 3.8
5.5577426, 95.3119890, 3.9
5.5577354, 95.3120040, 3.9
5.5577297, 95.3120120, 4.2
5.5577269, 95.3120270, 4.3
5.5577207, 95.3120420, 4.3
5.5577145, 95.3120500, 4.5
5.5577106, 95.3120650, 4.7
5.5577073, 95.3120730, 4.6
5.5577025, 95.3120880, 4.3
5.5576978, 95.3120960, 4.5
5.5576940, 95.3121110, 4.8
5.5576897, 95.3121260, 4.7
5.5576844, 95.3121340, 4.6
5.5576787, 95.3121490, 4.6
5.5576739, 95.3121640, 4.9
5.5576663, 95.3121720, 5.1
5.5576596, 95.3121800, 5.1
5.5576525, 95.3121870, 5.0
5.5576453, 95.3122020, 5.0
5.5576386, 95.3122020, 4.7
5.5576305, 95.3122180, 4.7
5.5576239, 95.3122330, 4.3
5.5576196, 95.3122410, 4.2
5.5576138, 95.3122560, 4.7
5.5576067, 95.3122710, 4.7
5.5576015, 95.3122860, 5.6
5.5575953, 95.3122940, 6.2
5.5575895, 95.3123090, 6.2
5.5575871, 95.3123250, 6.2
5.5575814, 95.3123250, 5.9
5.5575757, 95.3123400, 5.9
5.5575700, 95.3123550, 5.7
5.5575643, 95.3123630, 5.9
5.5575566, 95.3123780, 5.8
5.5575514, 95.3123930, 5.9
5.5575452, 95.3124010, 6.2
5.5575390, 95.3124010, 5.7
5.5575337, 95.3124080, 4.8
5.5575233, 95.3124390, 5.2
5.5575190, 95.3124540, 5.1
5.5575137, 95.3124690, 5.3
5.5575075, 95.3124770, 5.3
5.5575042, 95.3124850, 5.1
5.5574985, 95.3125000, 5.3
5.5574927, 95.3125150, 5.2
5.5574884, 95.3125230, 4.9
5.5574832, 95.3125310, 5.2
5.5574780, 95.3125460, 5.1
5.5574722, 95.3125530, 5.1
5.5574651, 95.3125610, 4.9
5.5574608, 95.3125760, 4.8
5.5574570, 95.3125840, 4.7
5.5574560, 95.3125990, 4.6
