time,latitude,longitude,altitude (m),distance (km),distance_interval (m)
2020-12-22 09:34:47,5.557851300,95.311813000,5.9,0.000,
2020-12-22 09:34:48,5.557851800,95.311813000,5.9,0.000,0.06
2020-12-22 09:34:49,5.557851300,95.311813000,5.9,0.000,0.06
2020-12-22 09:34:50,5.557848900,95.311813000,5.9,0.000,0.27
2020-12-22 09:34:51,5.557844600,95.311821000,5.9,0.001,1.01
2020-12-22 09:34:52,5.557838900,95.311829000,5.8,0.002,1.09
2020-12-22 09:34:53,5.557834100,95.311844000,5.8,0.004,1.74
2020-12-22 09:34:54,5.557827900,95.311852000,5.8,0.005,1.12
2020-12-22 09:34:55,5.557822200,95.311859000,5.8,0.006,1.00
2020-12-22 09:34:56,5.557816000,95.311867000,5.8,0.007,1.12
2020-12-22 09:34:57,5.557809800,95.311874000,5.8,0.008,1.04
2020-12-22 09:34:58,5.557805100,95.311890000,5.8,0.010,1.85
2020-12-22 09:34:59,5.557800300,95.311890000,5.8,0.011,0.53
2020-12-22 09:35:00,5.557795500,95.311897000,5.8,0.012,0.94
2020-12-22 09:35:01,5.557791200,95.311913000,5.8,0.014,1.84
2020-12-22 09:35:02,5.557785500,95.311920000,5.8,0.015,1.00
2020-12-22 09:35:03,5.557780300,95.311928000,5.8,0.016,1.06
2020-12-22 09:35:04,5.557775000,95.311935000,5.8,0.017,0.97
2020-12-22 09:35:06,5.557763100,95.311951000,5.8,0.019,2.21
2020-12-22 09:35:07,5.557759800,95.311958000,5.8,0.020,0.86
2020-12-22 09:35:08,5.557755500,95.311966000,5.8,0.021,1.01
2020-12-22 09:35:09,5.557750200,95.311981000,5.8,0.023,1.76
2020-12-22 09:35:10,5.557742600,95.311989000,5.7,0.024,1.22
2020-12-22 09:35:11,5.557735400,95.312004000,5.7,0.026,1.84
2020-12-22 09:35:12,5.557729700,95.312012000,5.7,0.027,1.09
2020-12-22 09:35:13,5.557726900,95.312027000,5.7,0.028,1.69
2020-12-22 09:35:14,5.557720700,95.312042000,5.7,0.030,1.80
2020-12-22 09:35:15,5.557714500,95.312050000,5.7,0.031,1.12
2020-12-22 09:35:16,5.557710600,95.312065000,5.7,0.033,1.72
2020-12-22 09:35:17,5.557707300,95.312073000,5.7,0.034,0.96
2020-12-22 09:35:18,5.557702500,95.312088000,5.7,0.036,1.74
2020-12-22 09:35:19,5.557697800,95.312096000,5.7,0.037,1.03
2020-12-22 09:35:20,5.557694000,95.312111000,5.8,0.038,1.71
2020-12-22 09:35:21,5.557689700,95.312126000,5.8,0.040,1.73
2020-12-22 09:35:22,5.557684400,95.312134000,5.8,0.041,1.06
2020-12-22 09:35:23,5.557678700,95.312149000,5.8,0.043,1.78
2020-12-22 09:35:24,5.557673900,95.312164000,5.8,0.045,1.74
2020-12-22 09:35:25,5.557666300,95.312172000,5.8,0.046,1.22
2020-12-22 09:35:26,5.557659600,95.312180000,5.8,0.047,1.16
2020-12-22 09:35:27,5.557652500,95.312187000,5.8,0.048,1.10
2020-12-22 09:35:28,5.557645300,95.312202000,5.8,0.050,1.84
2020-12-22 09:35:29,5.557638600,95.312202000,5.8,0.051,0.74
2020-12-22 09:35:30,5.557630500,95.312218000,5.8,0.053,1.99
2020-12-22 09:35:31,5.557623900,95.312233000,5.8,0.055,1.82
2020-12-22 09:35:32,5.557619600,95.312241000,5.8,0.056,1.01
2020-12-22 09:35:33,5.557613800,95.312256000,5.8,0.057,1.78
2020-12-22 09:35:34,5.557606700,95.312271000,5.8,0.059,1.84
