altitude (m),distance (km)
349.6,0.000
349.6,0.000
349.8,0.001
349.9,0.002
350.1,0.002
349.7,0.004
350.5,0.017
351.6,0.038
351.8,0.047
353.0,0.066
353.4,0.082
354.0,0.101
354.1,0.119
353.5,0.130
353.3,0.144
352.6,0.154
350.7,0.175
351.3,0.191
353.9,0.210
357.4,0.228
360.2,0.240
362.2,0.248
363.0,0.251
366.1,0.266
366.4,0.282
366.4,0.289
367.0,0.307
367.2,0.312
367.5,0.315
368.3,0.328
368.7,0.333
370.3,0.350
371.8,0.363
373.2,0.376
374.7,0.393
376.5,0.410
378.3,0.424
380.3,0.439
382.7,0.452
384.0,0.460
386.1,0.470
387.0,0.473
387.1,0.489
387.4,0.502
388.7,0.524
390.5,0.541
393.2,0.563
394.0,0.567
394.4,0.570
396.2,0.581
398.5,0.594
400.0,0.604
401.9,0.612
406.6,0.631
407.2,0.634
407.8,0.636
411.1,0.648
415.5,0.667
418.9,0.681
422.4,0.693
423.8,0.699
426.9,0.711
430.8,0.726
434.4,0.742
433.8,0.764
432.2,0.777
432.8,0.794
436.0,0.807
440.3,0.825
441.7,0.836
444.7,0.856
445.3,0.860
444.2,0.866
444.9,0.871
445.0,0.872
445.2,0.875
445.4,0.877
446.3,0.884
447.2,0.895
449.1,0.919
452.2,0.949
454.6,0.977
455.6,0.992
456.4,1.004
457.4,1.021
458.7,1.047
460.0,1.074
461.2,1.099
462.5,1.123
463.2,1.141
464.6,1.166
466.0,1.187
468.0,1.211
469.2,1.230
471.9,1.259
473.7,1.272
476.4,1.293
478.6,1.309
480.4,1.320
480.7,1.323
484.0,1.345
485.9,1.369
487.8,1.392
489.1,1.409
491.3,1.434
492.8,1.451
493.0,1.454
492.9,1.456
493.2,1.458
493.2,1.461
494.0,1.472
495.0,1.482
496.9,1.501
498.9,1.522
501.5,1.543
503.9,1.564
506.0,1.583
508.9,1.611
510.7,1.631
511.7,1.641
513.4,1.660
516.2,1.686
518.5,1.706
521.2,1.731
522.5,1.743
522.5,1.743
522.5,1.746
522.3,1.749
523.8,1.762
525.3,1.776
527.1,1.794
527.3,1.795
528.9,1.811
530.7,1.829
532.5,1.846
534.2,1.866
535.6,1.889
537.8,1.925
539.5,1.949
541.6,1.969
543.8,1.988
546.3,2.009
549.4,2.033
551.9,2.055
554.3,2.079
556.4,2.100
558.7,2.122
561.3,2.147
563.8,2.170
566.1,2.191
568.2,2.212
569.9,2.229
572.8,2.254
575.6,2.278
578.3,2.300
581.4,2.327
583.8,2.353
584.5,2.376
584.6,2.405
585.0,2.427
586.0,2.444
588.1,2.465
590.6,2.480
592.6,2.493
595.5,2.511
599.4,2.531
602.3,2.547
602.1,2.550
602.4,2.552
602.6,2.555
601.9,2.559
601.8,2.564
602.1,2.569
602.0,2.570
602.1,2.572
602.3,2.577
601.1,2.584
601.1,2.601
601.8,2.613
601.7,2.614
602.1,2.618
602.1,2.619
602.5,2.622
605.0,2.639
607.2,2.654
608.9,2.673
610.3,2.686
611.1,2.702
611.2,2.718
613.4,2.737
615.4,2.753
616.8,2.766
618.5,2.783
620.1,2.797
621.0,2.804
622.2,2.813
624.2,2.824
626.2,2.835
628.7,2.851
631.3,2.864
633.7,2.878
637.4,2.897
639.7,2.911
640.7,2.919
640.8,2.929
641.8,2.935
641.0,2.940
642.6,2.950
644.8,2.963
645.5,2.975
645.6,2.976
647.7,2.988
650.7,3.007
652.6,3.019
653.8,3.040
655.6,3.056
657.8,3.069
659.4,3.078
661.9,3.093
664.4,3.107
666.7,3.126
667.0,3.127
667.7,3.132
670.6,3.150
673.7,3.167
675.9,3.183
677.7,3.198
678.1,3.209
679.8,3.218
682.2,3.230
685.0,3.244
686.0,3.249
686.4,3.252
689.7,3.271
691.6,3.284
694.2,3.299
694.9,3.303
694.8,3.304
695.2,3.306
695.5,3.308
695.4,3.309
695.5,3.310
695.0,3.314
695.2,3.316
695.8,3.320
696.1,3.325
695.6,3.328
695.3,3.331
695.2,3.332
695.5,3.333
695.3,3.335
695.1,3.337
695.2,3.338
695.0,3.340
695.0,3.340
