name, desc, latitude, longitude, color, symbol
Oregon 650, 0m, 5.403163, 95.640498    , green, pin
Oregon 650, 200, 5.402915, 95.641978   , green, pin
Oregon 650, 400m, 5.404399, 95.641163  , green, pin
Oregon 650, 600m, 5.405933, 95.640214  , green, pin
Oregon 650, 800m, 5.407291, 95.640298  , green, pin
Oregon 650, 1000m, 5.408660, 95.639439 , green, pin
Oregon 650, 1200m, 5.410432, 95.639372 , green, pin
Oregon 650, 1400m, 5.412146, 95.638905 , green, pin
Oregon 650, 1600m, 5.413675, 95.638116 , green, pin
Oregon 650, 1800m, 5.415359, 95.637591 , green, pin
Oregon 650, 2000m, 5.417193, 95.637553 , green, pin
